Poço,Profundidade,COT,S1,S2,S3,Tmax,Ro,IH,IO
1-BRSA-50-ESS,2729.00,0.86,0.59,1.33,3.58,432.00,,154.65,416.28
1-BRSA-50-ESS,2747.00,0.92,0.70,1.50,3.91,429.00,,163.04,425.00
1-BRSA-50-ESS,2765.00,0.95,0.63,1.56,3.48,432.00,,164.21,366.32
1-BRSA-50-ESS,2783.00,0.99,0.84,1.63,3.70,430.00,,164.65,373.74
1-BRSA-50-ESS,2801.00,0.84,,,,,,,
1-BRSA-50-ESS,2819.00,0.90,1.33,1.65,3.07,428.00,,183.33,341.11
1-BRSA-50-ESS,2837.00,0.80,1.22,1.64,3.20,431.00,,205.00,400.00
1-BRSA-50-ESS,2855.00,0.71,,,,,,,
1-BRSA-50-ESS,2873.00,1.01,1.14,1.91,3.98,433.00,,189.11,394.06
1-BRSA-50-ESS,2891.00,0.96,0.95,1.72,3.39,430.00,,179.17,353.13
1-BRSA-50-ESS,2909.00,0.96,0.75,1.57,3.76,434.00,,163.54,391.67
1-BRSA-50-ESS,2927.00,0.61,,,,,,,
1-BRSA-50-ESS,2945.00,0.60,,,,,,,
1-BRSA-50-ESS,2963.00,0.67,,,,,,,
1-BRSA-50-ESS,2981.00,0.61,,,,,,,
1-BRSA-50-ESS,2999.00,0.66,,,,,,,
1-BRSA-50-ESS,3017.00,0.89,1.06,1.64,4.40,430.00,,184.27,494.38
1-BRSA-50-ESS,3035.00,0.58,,,,,,,
1-BRSA-50-ESS,3053.00,0.50,,,,,,,
1-BRSA-50-ESS,3071.00,0.55,,,,,,,
1-BRSA-50-ESS,3089.00,0.61,,,,,,,
1-BRSA-50-ESS,3107.00,0.63,,,,,,,
1-BRSA-50-ESS,3125.00,0.62,,,,,,,
1-BRSA-50-ESS,3143.00,0.52,,,,,,,
1-BRSA-50-ESS,3161.00,0.52,,,,,,,
1-BRSA-50-ESS,3179.00,0.53,,,,,,,
1-BRSA-50-ESS,3197.00,0.52,,,,,,,
1-BRSA-50-ESS,3215.00,0.54,,,,,,,
1-BRSA-50-ESS,3233.00,0.55,,,,,,,
1-BRSA-50-ESS,3251.00,0.59,,,,,,,
1-BRSA-50-ESS,3269.00,0.61,,,,,,,
1-BRSA-50-ESS,3287.00,0.53,,,,,,,
1-BRSA-50-ESS,3305.00,0.58,,,,,,,
1-BRSA-50-ESS,3323.00,0.52,,,,,,,
1-BRSA-50-ESS,3341.00,0.53,,,,,,,
1-BRSA-50-ESS,3359.00,0.52,,,,,,,
1-BRSA-50-ESS,3377.00,0.53,,,,,,,
1-BRSA-50-ESS,3395.00,0.45,,,,,,,
